location,zh_cn,en
site/app/pages/advance/i18n.html,如果需要支持多种语言，建议一次性将项目需要支持的语言资源全部引入。这样做的好处是切换语言时不再需要额外的通过 ajax 加载资源的逻辑，并且 Jinge Material 的语言资源也很小，不会引入带宽负担。加载的资源可以存放在某个 service 中，比如：,"If you need to support multiple languages, it is recommended to introduce all the language resources that the project needs to support at one time. The advantage of this is that no additional logic for loading resources through ajax is needed when switching languages, and the language resources of Jinge Material are also very small, which will not introduce bandwidth burden. Loaded resources can be stored in a service, such as:"
site/app/pages/advance/i18n.html,然后将上述的 service 暴露给业务层，比如项目的入口文件设置默认语言，或者在某个按钮的点击事件中切换语言：,"Then expose the above service to the business layer, such as setting the default language for the entry file of the project, or switching the language in the event of a button click:"
site/app/pages/advance/i18n.html,使用浏览器引入的 script,Import script in browser
site/app/pages/advance/i18n.html,通过浏览器引入 script 的方式使用 Jinge Material 时，多语言资源文件需要保证在 jinge-material.min.js 文件之后执行。语言资源文件会向 `JingeMaterial` 对象的 `locales` 属性字典写入对应的值。然后在业务代码中，只需要使用这个 `locales` 属性，即可得到所有语言资源。,"When using Jinge Material through the browser to import script, the multilingual resource file needs to be guaranteed to be executed after the jinge-material.min.js file. The language resource file writes the corresponding values to the locales attribute dictionary of the JingeMaterial object. Then in the business code, just use this `locales` property to get all the language resources."
site/app/pages/advance/i18n.html,具体来讲，在 html 文件中，用如下的方式加载 script：,"Specifically, in the html file, load the script as follows:"
site/app/pages/advance/i18n.html,也可以一次性加载涵盖所有语言资源的包（Gzip 压缩和 CDN 加载后，加载全部语言资源也几乎不影响启动速度）：,"It is also possible to load a package that covers all language resources at once (after Gzip compression and CDN loading, loading all language resources has almost no impact on startup speed):"
site/app/pages/advance/i18n.html,然后在业务 js 代码中，用如下的方式配置默认语言（或切换语言）：,"Then in the business js code, configure the default language (or switch languages) as follows:"
site/app/pages/advance/i18n.html,上述代码需要在打包工具中配置对 jinge-material 的引用指向 window.JingeMaterial 对象，比如 webpack.config.js 中配置 externals。,"The above code needs to configure the reference to jinge-material in the packaging tool to point to the window.JingeMaterial object, such as externals in webpack.config.js."
site/app/pages/advance/i18n.html,补充,Supplement
site/app/pages/advance/i18n.html,通过 npm 或 yarn 包的方式使用 jinge-materail，但又一定要用 ajax 的方式按需加载语言资源，可以有不同的实现方式。其中一种方式是，以文本的形式 fetch 到语言资源的源码，然后通过 `new Function()` 的形式包裹并执行该源码，同时传递一个 `JingeMaterial` 对象给上下文：,"If you wan’t to use jinge-materail through npm or yarn packages and use ajax to load language resources on demand, there are different implementations. One way is to fetch the source code of the language resource in text form, then wrap and execute the source code in the form of `new Function ()`, while passing a `JingeMaterial` object to the context:"
site/app/pages/advance/theme.html,主题,Theme
site/app/pages/advance/theme.html,"Jinge Material 组件库<ui-sref to=""about"">移植自 Vue Material</ui-sref>，但在多主题的支持上，进行了彻底地重构。主要包括两个方面：","Jinge Material component library is <ui-sref to = ""about"">ported from vue-material</ ui-sref>, but it has been completely refactored with support for multiple themes. It mainly includes two aspects:"
site/app/pages/advance/theme.html,完全依赖 CSS 变量（css3 variable）来实现颜色的指定和色板的切换。,Completely rely on CSS variable to achieve the color designation and swatch switching.
site/app/pages/advance/theme.html,完全遵循 Material Design 最新的设计规范中关于色板的规定，包括暗色主题。,"Full compliance with Material Design’s latest design specifications, including dark theme."
site/app/pages/advance/theme.html,预置主题,Pre-built themes
site/app/pages/advance/theme.html,Jinge Material 提供了 4 个预先构建好的主题，包括蓝色（default）、紫色（purple）、暗色蓝（default-dark）和暗色紫（purple-dark）。构建好的主题文件位于 <code>dist/themes</code> 目录下，使用时只需要和主样式文件一起加载即可：,"Jinge Material provides 4 pre-built themes, including default, purple, default-dark and purple-dark. The theme files are located at <code>dist/themes</ code> directory. You only need to load it with the main style file when using it:"
site/app/pages/advance/theme.html,自定义主题,Custom themes
site/app/pages/advance/theme.html,自定义主题可以通过加载自定义的主题文件（即色板文件）实现。色板里颜色的定义严格遵循 Material Design 的规范。可在参考 dist 目录下构建好的色板 css 文件创建自定义色板文件，也可以参考下面的 scss 源码创建并构建色板文件：,"Custom themes can be implemented by loading custom theme files (ie palette files). The definition of colors in palette strictly follows the specifications of Material Design. You can create a custom palette file in the referenced css file located at the dist directory, or you can refer to the following scss source code to create and build a palette file:"
site/app/pages/advance/theme.html,切换主题,Switch theme
site/app/pages/advance/theme.html,组件的颜色全部通过 CSS 变量引用色板中定义的颜色，因此切换主题只需要简单地替换色板文件即可。从技术角度讲，替换色板本质上是替换(覆盖) CSS 变量的值。,"The colors of the components all refer to the colors defined in the palette through CSS variables, so switching themes requires simply replacing the palette. Technically speaking, replacing a palette is essentially replacing (overriding) the value of a CSS variable."
site/app/pages/advance/theme.html,有多种方式可以实现替换（覆盖）CSS 变量的值。一种简单的方案是，在 html 中加载默认的色板时，为 <code>link</code> 元素赋予 id 属性，然后在切换主题的 js 逻辑里，通过这个 id 删除旧的<code>link</code> 元素，然后插入一个指向新主题色板的 css 文件的 <code>link</code> 元素。,"There are several ways to replace (overwrite) the values of CSS variables. A simple solution is to assign the id attribute to the <code>link</ code> element when loading the default theme file in html. When switching theme, delete the old <code>link</code> by this id and insert a new <code>link</ code> element pointing to a css file for the new theme."
site/app/pages/advance/use-router.html,路由整合,Use Router
site/app/pages/advance/use-router.html,jinge 框架没有实现内置的路由功能，取而代之的是基于 @uirouter/core 的 jinge-ui-router 库。在 Jinge Material 组件库中，个别组件可以直接集成 jinge-ui-router 的路由功能。,"The jinge framework does not implement built-in routing functions, instead it uses the jinge-ui-router library based on @uirouter/core. In the Jinge Material component library, individual components can directly integrate the routing functions of jinge-ui-router."
site/app/pages/advance/use-router.html,"这些组件目前包括：<UISref to=""components.button"" text=""md-button""/>、<UISref to=""components.list"" text=""md-list-item""/>、<UISref to=""components.bottom-bar"" text=""md-bottom-bar""/> 和 <UISref to=""components.list"" text=""md-tab""/>。在这些组件上，可以直接使用 <code>ui-sref</code> 组件的 to、params、target 和 active 属性。详见这些组件的示例。","These components currently include: <UISref to=""components.button"" text=""md-button""/>, <UISref to=""components.list"" text=""md-list-item""/>, <UISref to=""components.bottom-bar"" text=""md-bottom-bar""/> and <UISref to=""components.list"" text=""md-tab""/>. On these components, you can use the to, params, target, and active attributes of the <code>ui-sref</ code> component directly. See examples of these components for details."
site/app/pages/advance/use-router.html,需要说明的是，Jinge Material 组件库并不直接依赖 jinge-ui-router，而是利用 jinge 框架的 Context 功能，在需要的时候通过 GET_CONTEXT 来获取上下文中的路由器。也就是说，如果不需要使用上述组件的路由功能，则不需要安装jinge-ui-router 库。但如果使用了路由功能（为上述组件指定了 to 属性），但没有在整个项目中启用 jinge-ui-router，则会报错。,"It should be noted that the Jinge Material component library does not directly rely on jinge-ui-router, but uses the context of the jinge framework to obtain the router in the context through GET_CONTEXT when needed. In other words, if you do not need to use the routing function of the above components, you do not need to install the jinge-ui-router library. However, if the routing function is used (the to attribute is specified for the above components) and jinge-ui-router is not enabled in the entire project, an error will be reported."
site/app/pages/components/autocomplete/api.js,名称,Name
site/app/pages/components/autocomplete/api.js,描述,Description
site/app/pages/components/autocomplete/api.js,示例,Usage
site/app/pages/components/autocomplete/api.js,创建自定义的匹配项,Creates a custom autocomplete result item
site/app/pages/components/autocomplete/api.js,将收到匹配选项的每个选项。,Will receive each item of the matched options.
site/app/pages/components/autocomplete/api.js,当前输入的搜索词。,The current input search term.
site/app/pages/components/autocomplete/api.js,在零匹配的情况下创建一个空状态,Creates a empty state in case of zero matches
site/app/pages/components/autocomplete/api.js,默认值,Default
site/app/pages/components/autocomplete/api.js,自动补全输入框的值,bind the autocomplete value
site/app/pages/components/autocomplete/api.js,要搜索的可用选项。如果为 Array，则自动完成功能将使用内部搜索引擎。 如果是 Promise，则需要您自己执行搜索（这通常是由后端服务进行的）。,"The available options to be searched. If Array, the autocomplete will use a inner search engine. If Promise, you will need to implement the search by yourself (this is commonly made by a backend service)."
site/app/pages/components/autocomplete/api.js,传递给输入框的 name 属性,The input name attribute
site/app/pages/components/autocomplete/api.js,传递给输入框的 id 属性,The input id attribute
site/app/pages/components/autocomplete/api.js,指定允许输入的最大的字符数量,"Enables a character count, based on the given value."
site/app/pages/components/autocomplete/api.js,输入框的占位提示,Sets a optional placeholder on autocomplete.
site/app/pages/components/autocomplete/api.js,使用紧凑型的自动补全组件,Enable the dense layout for options
site/app/pages/components/autocomplete/api.js,设置布局方式，请参见下面每种布局的详细说明。,Sets the input layout. The floating variant is the default. See below the detailed description of each layout.
site/app/pages/components/autocomplete/api.js,布局方式使用 floating 模式。这是默认的布局。,Sets the input layout to floating. This is the default.
site/app/pages/components/autocomplete/api.js,布局方式使用 boxed 模式。,Sets the input layout to a boxed layout.
site/app/pages/components/autocomplete/api.js,禁用/启用焦点事件。 如果 false，则选项将在按键后立即显示结果。,"Disable/enable the on focus event. If <code>false</code>, the options will show the results right after a keystroke."
site/app/pages/components/autocomplete/api.js,如果 option 为 object，则需要指定哪个属性将用于搜索过滤器。,"If option is object, you need to specify which attribute will be used for the search filter."
site/app/pages/components/autocomplete/api.js,选项过滤器的搜索算法。如果传递的 <code>options</code> 属性是 Promise，则此选项不起作用。有关更多详细信息，请参见 <code>md-highlight</code> 的 API。,"Disable/enable the fuzzy search algorithm. If <code>false</code>, the search will match the whole search term. This option do not take any effects if the <code>md-options</code> is a Promise"
site/app/pages/components/autocomplete/api.js,参数,Parameters
site/app/pages/components/autocomplete/api.js,用户在输入字段上键入时触发,Triggered when the user types on the input field
site/app/pages/components/autocomplete/api.js,当用户选择一个选项时触发,Triggered when the user selects an option
site/app/pages/components/autocomplete/api.js,在打开选项面板时触发,Triggered when the options panel is opened
site/app/pages/components/autocomplete/api.js,在关闭选项面板时触发,Triggered when the options panel is closed
site/app/pages/components/autocomplete/index.html,输入文本可以与自动完成功能一起使用，以帮助识字能力有限或使用外语书写的用户。 例如，自动完成功能可以在输入时建议输入（每次击键都会刷新建议）。,"Input text can be used with autocomplete to help users who have limited literacy or who write in a foreign language. For example, autocomplete can suggest input as it’s typed (refreshing suggestions with each keystroke)."
site/app/pages/components/autocomplete/index.html,自动补全组件类似于 <code>md-field</code>，可以传递标签，验证消息，帮助程序文本甚至图标。,"Autocomplete works like <code>md-field</code>. This means that you can pass labels, validation messages, helper texts and even icons:"
site/app/pages/components/autocomplete/index.html,使用静态数据,Static Data
site/app/pages/components/autocomplete/index.html,如果数据量少或是静态数据，则可以通过简单直观的方式将数据选项传递给 <code>md-autocomplete</code>：,"If you have a small amount of data or if it's static, you can pass the options to <code>md-autocomplete</code> in a simple and intuitive way:"
site/app/pages/components/autocomplete/index.html,触发方式,Trigger
site/app/pages/components/autocomplete/index.html,默认情况下，建议在输入框获取焦点时打开自动补全。如果希望减少干扰，可以通过取消焦点事件来禁用此行为。如果是这样，则建议将在按键后立即显示：,"By default the suggestions will appear along with a focus trigger. If you want something less intrusive, you can disable this behaviour by canceling the focus event. If this, the suggestions will appear right after a keystroke:"
site/app/pages/components/autocomplete/index.html,Box 布局,Box Layout
site/app/pages/components/autocomplete/index.html,自动补全组件可以使用两种布局：默认带有浮动标签，而盒装版式带有内联标签。框式布局将应用具有小高程的框式布局，这也非常适合用作工具栏内的搜索栏。,"Autocomplete have types two layouts: Default with floating labels and a boxed layout with inline labels. The box layout will apply a boxed layout with a small elevation, that also works really great as search bar inside a toolbar. Gorgeous:"
site/app/pages/components/autocomplete/index.html,自定义模板,Custom Template
site/app/pages/components/autocomplete/index.html,自动补全组件还接受自定义模板，该模板可以灵活地接受任何HTML元素并内置“空状态”。您还可以突出显示匹配项中的搜索词，以提供有关该项目为何出现在结果中的反馈。,"Autocomplete also accepts a custom template, flexible to accept any HTML element and with an 'empty state' built in. You can also highlight the search term inside the matches, to give a feedback on why that item has been in the results. Awesome:"
site/app/pages/components/autocomplete/index.html,尽管 <code>md-highlight</code> 组件最常与自动补全组件一起使用，但你可以在任何地方使用它。,"Although the <code>md-highlight</code> component is most used with autocomplete, you can use it anywhere."
site/app/pages/components/autocomplete/index.html,搜索算法,Search Algorithms
site/app/pages/components/autocomplete/index.html,"自动补全组件可以使用 3 种搜索算法：<a href=""https://en.wikipedia.org/wiki/roximate_string_matching"" target=""_blank"">fuzzy</a>，includes 和 starts。","Vue Material autocomplete comes with 2 ways of search: <a href=""https://en.wikipedia.org/wiki/Approximate_string_matching"" target=""_blank"">Fuzzy search</a> and search by whole term. The fuzzy search tries to match the results by approximation, finding patterns inside the available options. This will help with accidental type errors and improve the results. If you think that this may be confusing, you can disable this. Example:"
site/app/pages/components/autocomplete/index.html,异步加载数据项,Async Options
site/app/pages/components/autocomplete/index.html,很多时候需要从远程服务器的 API 接口中获取数据项。可以提供一个 <code>Promise</code>，它将使用例如后端接口中的数据进行解析。,"Sometimes the options are inside a database in a remote server. Instead of giving a static data, we can provide a <code>Promise</code> that will resolve with the data from a backend servide, for example. This is great to save Bandwidth on the initial load and to improve the performance. Look at this example:"
site/app/pages/components/autocomplete/index.html,自动补全,Autocomplete
site/app/pages/components/avatar/api.js,名称,Name
site/app/pages/components/avatar/api.js,描述,Description
site/app/pages/components/avatar/api.js,创建可以显示图标的头像。,Creates a avatar that can show a icon.
site/app/pages/components/avatar/api.js,制作小头像，更改图像，图标或文字的大小。,"Makes a small avatar, changing the size of image, icon or text."
site/app/pages/components/avatar/api.js,大头像，通常用于在 <md-drawer> 中展示当前用户头像。,Makes a large avatar. Commonly used as the current user avatar inside a left md-drawer.
site/app/pages/components/avatar/index.html,头像（Avatar）可以用来代表人物。当与特定徽标一起使用时，也可以用来代表品牌。当没有要显示的图像时，它们也可以用作占位符，例如，在还没有图片的联系人上显示姓名的首字母。,"Avatars can be used to represent people. When used with a specific logo, avatars can also be used to represent a brand. They also can be a placeholder when there is no image to be shown, showing a initial letter of a name on contacts that have no picture yet, for example."
site/app/pages/components/avatar/index.html,图片,Avatar
site/app/pages/components/avatar/index.html,头像可以用来展示单个图片，也可以和 <code>&lt;md-icon&gt;</code> 搭配用于展示图标。,Avatars can show a single image by default but can also display an icon (using the <code>md-icon</code> component):
site/app/pages/components/avatar/index.html,占位字符,Initial letter as a placeholder
site/app/pages/components/avatar/index.html,假设您要显示联系人列表，但是其中一些在数据库中没有图片。可以使用联系人姓名的首字母作为占位符，最多支持 2 个字符：,"Let's assume that you want to show a list of contacts, but some of them do not have a picture in your database. You can use the initial letter of the contact name as a placeholder. It can even show 2 letters (for compound names) without problems:"
site/app/pages/components/avatar/index.html,多种大小,Multiple sizes
site/app/pages/components/avatar/index.html,可以指定三种不同的大小：常规、小或大。默认情况下，头像具有常规大小。,"You can specify three different sizes, if you want: Regular, Small or Large. By default the avatar have a regular size."
site/app/pages/components/avatar/index.html,头像,Avatar
site/app/pages/components/badge/api.js,名称,Name
site/app/pages/components/badge/api.js,描述,Description
site/app/pages/components/badge/api.js,创建静态的方形徽标,Created square type badge.
site/app/pages/components/badge/api.js,默认值,Default
site/app/pages/components/badge/api.js,指定徽章内容,A content for badge
site/app/pages/components/badge/api.js,指定徽章位置，<code>top</code> 或 <code>bottom</code>,Position of badge <code>top</code> or <code>bottom</code>
site/app/pages/components/badge/api.js,使用紧凑型徽章,Enables the dense layout
site/app/pages/components/badge/index.html,徽章是用于在 UI 元素上提示小状态的描述符。,Small status descriptors for UI elements.
site/app/pages/components/badge/index.html,按钮，头像等组件需要使用 <code>md-badge</code> 进行包装。,"Some components like <b>button, avatar</b> needs to be wrapped with <code>md-badge</code> component."
site/app/pages/components/badge/index.html,徽章,Badge
site/app/pages/components/bottom-bar/api.js,名称,Name
site/app/pages/components/bottom-bar/api.js,描述,Description
site/app/pages/components/bottom-bar/api.js,默认值,Default
site/app/pages/components/bottom-bar/api.js,设置显示模式。请参见下面每种类型的详细说明。,Sets the display mode. See below the detailed description of each type.
site/app/pages/components/bottom-bar/api.js,用固定项目制作栏。适合少量元素。,Makes the bar with fixed items. Good for a small amount of items.
site/app/pages/components/bottom-bar/api.js,突出显示所选项目，并隐藏其他项目的标签。适合最多达 6 个的大量元素。,Highlights the selected item and hide the label from the others. Good for a large amount of items. Up to 6.
site/app/pages/components/bottom-bar/api.js,动态更改所选项目，通过传递底部栏项目的 id 来实现。,Dynamically changes the selected item. Works passing the ID of a bottom bar item.
site/app/pages/components/bottom-bar/api.js,项目的编号，需要动态更改所选项目时可指定,The item id. Used when changing the selected item dynamically
site/app/pages/components/bottom-bar/api.js,禁用底部栏，阻止包括单击在内的所有操作。,Disable the bottom bar preventing the click on it and all actions.
site/app/pages/components/bottom-bar/index.html,底部导航栏使您轻松单击即可浏览和在顶级视图之间切换。,Bottom navigation bars make it easy to explore and switch between top-level views in a single tap. 
site/app/pages/components/bottom-bar/index.html,和 jinge-ui-router 无缝结合,Seamless integration with jinge-ui-router
site/app/pages/components/bottom-bar/index.html,移位效果,Shift effect
site/app/pages/components/bottom-bar/index.html,可以在底栏上使用超棒的移位效果。可以最多同时展示 6 个项目，并让活动项目保持焦点：,You can also use the awesome shift effect on your bars. It is great to keep the focus of the active item and you can show up to 6 items at once:
site/app/pages/components/bottom-bar/index.html,底栏,Bottom Bar
site/app/pages/components/button/api.js,名称,Name
site/app/pages/components/button/api.js,描述,Description
site/app/pages/components/button/api.js,默认值,Default
site/app/pages/components/button/api.js,直接传递到原生 &lt;button&gt; 元素的 type 属性,Applies a type to button
site/app/pages/components/button/api.js,禁用按钮。,Disables the button and prevents its actions.
site/app/pages/components/button/api.js,是否启用 ripple 效果。,Enables/Disables the ripple effect.
site/app/pages/components/button/api.js,事件名称,Name
site/app/pages/components/button/api.js,参数,Parameters
site/app/pages/components/button/api.js,鼠标点击事件。,Triggered after a mouse click
site/app/pages/components/button/api.js,任意可作用到原生 &lt;button&gt; 元素的事件，组件会将事件绑定传递到原生 &lt;button&gt; 元素。,All events will be passed to button element.
site/app/pages/components/button/api.js,主题 Primary 颜色按钮。,Set background to primary color.
site/app/pages/components/button/api.js,主题 Accent 颜色按钮。,Set background to accent color.
site/app/pages/components/button/api.js,创建带有阴影的凸起按钮,Creates raised buttons with elevation
site/app/pages/components/button/api.js,使用紧凑型的按钮样式。,A slight small variant of buttons. Useful to create a compact UI.
site/app/pages/components/button/api.js,使用圆形的图标按钮。,Enables the rounded-shape icon button
site/app/pages/components/button/api.js,使用 FAB 按钮,Turns a button into a FAB
site/app/pages/components/button/api.js,指定 FAB 按钮的位置。位置 [position] 可选值包括：,Specify the position of the FAB button. [position] values include:
site/app/pages/components/button/api.js,使用 fixed 模式展示按钮。推荐和上述的 6 种位置配合使用。,Apply position: fixed to FAB. Better used with the 6 position coordinates above
site/app/pages/components/button/index.html,"按钮组件用于响应用户的点（触）击操作。按钮类型包括 <strong>Flat</strong>, <strong>Raised</strong> 和 <strong>Floating</strong>。Flat 和 Raised 类型的按钮默认情况下只展示文本，但也可以通过特殊的 class 来附加图标。Floating 类型的按钮只展示图标。按钮可以通过添加 <strong>Dense</strong> 这个 class 来调整为较小的紧凑型大小。","Buttons communicate the action that will occur when the user touches them. They can be <strong>Flat</strong>, <strong>Raised</strong> or <strong>Floating</strong>. Flat and raised buttons accepts only text (by default) but with an special class the button can place an icon. Floating Buttons only accept icons. They can also be smaller than usual with a <strong>Dense</strong> class."
site/app/pages/components/button/index.html,Flat 和 Raised 类型,Flat and Raised Buttons
site/app/pages/components/button/index.html,不添加任何 class 的情况下，按钮的默认类型即 Flat。添加 <code>md-raised</code> 这个 class 即可指定按钮类型为 Raised。,The flat button is the default one. No classes or properties needs to be attached to it to make it flat. The raised button can be achieved with the <code>md-raised</code> class.
site/app/pages/components/button/index.html,Regular,Regular
site/app/pages/components/button/index.html,所有按钮都有以下接口：,The following options can be applied to all buttons
site/app/pages/components/button/index.html,图标类型,Icon Button
site/app/pages/components/button/index.html,要在按钮内显示图标，只需要添加 md-icon-button 类就可以了。您还可以将其与 md-raised 类结合使用。,To display icons inside buttons you only need to add a class and you're good to go. And you can also combine it with the raised class.
site/app/pages/components/button/index.html,Icon,Icon
site/app/pages/components/button/index.html,FAB 按钮,Floating Action Buttons
site/app/pages/components/button/index.html,FAB 按钮代表应用程序中的主要动作，用于升级动作。FAB 按钮可以是常规大小或小型，默认情况下带有强调色。这种类型的按钮只能有图标，因此应与 md-icon 一起使用。,"A Floating Action Button represents the primary action in an application and is used for a promoted action. FAB buttons can be regular sized or mini, with an accent color by default. This type of buttons can only have icons, so it should be used along with <code>&lt;md-icon&gt;</code>."
site/app/pages/components/button/index.html,每屏最多只使用一个 FAB 按钮，并且仅在按钮的目的是触发屏幕的主要操作时才使用。否则，请使用 <code>md-icon-button</code>。,Use only one FAB per page and only if the purpose of the button is to fire the main action of the screen. Otherwise use <code>md-icon-button</code>.
site/app/pages/components/button/index.html,FAB,Floating Action Buttons
site/app/pages/components/button/index.html,链接 vs 按钮,Links vs Buttons
